## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077089_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077089_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077089_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	256367	2428228	285910	587059	166286	185061	0	0.104914	15110538

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.851549
3.0	2.576686
4.0	3.194176
5.0	3.719999
6.0	4.167763
7.0	4.549056
8.0	4.873747
9.0	5.150237
10.0	5.385681
11.0	5.586174
12.0	5.756904
13.0	5.902289
14.0	6.026091
15.0	6.131515
16.0	6.221288
17.0	6.297735
18.0	6.362833
19.0	6.418267
20.0	6.465472
21.0	6.50567
22.0	6.5399
23.0	6.569048
24.0	6.59387
25.0	6.615006
26.0	6.633005
27.0	6.648332
28.0	6.661384
29.0	6.672498
30.0	6.681962
31.0	6.690022
32.0	6.696885
33.0	6.702729
34.0	6.707705
35.0	6.711943
36.0	6.715552
37.0	6.718625
38.0	6.721241
39.0	6.72347
40.0	6.725367
41.0	6.726983
42.0	6.728359
43.0	6.729531
44.0	6.730529
45.0	6.731378
46.0	6.732102
47.0	6.732718
48.0	6.733242
49.0	6.733689
50.0	6.73407
51.0	6.734394
52.0	6.734669
53.0	6.734904
54.0	6.735104
55.0	6.735275
56.0	6.73542
57.0	6.735543
58.0	6.735649
59.0	6.735738
60.0	6.735814
61.0	6.735879
62.0	6.735935
63.0	6.735982
64.0	6.736022
65.0	6.736056
66.0	6.736085
67.0	6.73611
68.0	6.736131
69.0	6.736149
70.0	6.736164
71.0	6.736177
72.0	6.736188
73.0	6.736198
74.0	6.736206
75.0	6.736213
76.0	6.736218
77.0	6.736223
78.0	6.736228
79.0	6.736231
80.0	6.736234
81.0	6.736237
82.0	6.736239
83.0	6.736241
84.0	6.736243
85.0	6.736244
86.0	6.736245
87.0	6.736246
88.0	6.736247
89.0	6.736248
90.0	6.736248
91.0	6.736249
92.0	6.736249
93.0	6.73625
94.0	6.73625
95.0	6.73625
96.0	6.736251
97.0	6.736251
98.0	6.736251
99.0	6.736251
100.0	6.736251

