## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077088_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077088_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077088_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	294521	1979987	297109	623435	197517	225302	0	0.152338	8026872

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.781399
3.0	2.391982
4.0	2.869092
5.0	3.241905
6.0	3.53322
7.0	3.760853
8.0	3.938726
9.0	4.077715
10.0	4.186321
11.0	4.271186
12.0	4.337499
13.0	4.389316
14.0	4.429805
15.0	4.461444
16.0	4.486166
17.0	4.505484
18.0	4.520579
19.0	4.532375
20.0	4.541591
21.0	4.548793
22.0	4.554421
23.0	4.558819
24.0	4.562255
25.0	4.56494
26.0	4.567038
27.0	4.568677
28.0	4.569958
29.0	4.570959
30.0	4.571741
31.0	4.572353
32.0	4.57283
33.0	4.573203
34.0	4.573495
35.0	4.573723
36.0	4.573901
37.0	4.57404
38.0	4.574149
39.0	4.574234
40.0	4.5743
41.0	4.574352
42.0	4.574392
43.0	4.574424
44.0	4.574449
45.0	4.574468
46.0	4.574483
47.0	4.574495
48.0	4.574504
49.0	4.574512
50.0	4.574517
51.0	4.574522
52.0	4.574525
53.0	4.574528
54.0	4.57453
55.0	4.574531
56.0	4.574533
57.0	4.574534
58.0	4.574535
59.0	4.574535
60.0	4.574536
61.0	4.574536
62.0	4.574536
63.0	4.574536
64.0	4.574537
65.0	4.574537
66.0	4.574537
67.0	4.574537
68.0	4.574537
69.0	4.574537
70.0	4.574537
71.0	4.574537
72.0	4.574537
73.0	4.574537
74.0	4.574537
75.0	4.574537
76.0	4.574537
77.0	4.574537
78.0	4.574537
79.0	4.574537
80.0	4.574537
81.0	4.574537
82.0	4.574537
83.0	4.574537
84.0	4.574537
85.0	4.574537
86.0	4.574537
87.0	4.574537
88.0	4.574537
89.0	4.574537
90.0	4.574537
91.0	4.574537
92.0	4.574537
93.0	4.574537
94.0	4.574537
95.0	4.574537
96.0	4.574537
97.0	4.574537
98.0	4.574537
99.0	4.574537
100.0	4.574537

