## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077094_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077094_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077094_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	357913	3395250	534589	767911	274885	468085	0	0.169416	11153843

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.737564
3.0	2.281566
4.0	2.682802
5.0	2.978739
6.0	3.197012
7.0	3.358002
8.0	3.476743
9.0	3.564322
10.0	3.628917
11.0	3.67656
12.0	3.7117
13.0	3.737618
14.0	3.756734
15.0	3.770834
16.0	3.781233
17.0	3.788903
18.0	3.79456
19.0	3.798733
20.0	3.80181
21.0	3.80408
22.0	3.805754
23.0	3.806989
24.0	3.8079
25.0	3.808571
26.0	3.809067
27.0	3.809432
28.0	3.809702
29.0	3.809901
30.0	3.810047
31.0	3.810155
32.0	3.810235
33.0	3.810294
34.0	3.810337
35.0	3.810369
36.0	3.810393
37.0	3.81041
38.0	3.810423
39.0	3.810433
40.0	3.81044
41.0	3.810445
42.0	3.810449
43.0	3.810451
44.0	3.810453
45.0	3.810455
46.0	3.810456
47.0	3.810457
48.0	3.810458
49.0	3.810458
50.0	3.810458
51.0	3.810459
52.0	3.810459
53.0	3.810459
54.0	3.810459
55.0	3.810459
56.0	3.810459
57.0	3.810459
58.0	3.810459
59.0	3.810459
60.0	3.810459
61.0	3.810459
62.0	3.810459
63.0	3.810459
64.0	3.810459
65.0	3.810459
66.0	3.810459
67.0	3.810459
68.0	3.810459
69.0	3.810459
70.0	3.810459
71.0	3.810459
72.0	3.810459
73.0	3.810459
74.0	3.810459
75.0	3.810459
76.0	3.810459
77.0	3.810459
78.0	3.810459
79.0	3.810459
80.0	3.810459
81.0	3.810459
82.0	3.810459
83.0	3.810459
84.0	3.810459
85.0	3.810459
86.0	3.810459
87.0	3.810459
88.0	3.810459
89.0	3.810459
90.0	3.810459
91.0	3.810459
92.0	3.810459
93.0	3.810459
94.0	3.810459
95.0	3.810459
96.0	3.810459
97.0	3.810459
98.0	3.810459
99.0	3.810459
100.0	3.810459

