## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077091_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077091_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077091_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	295206	2719791	338467	607360	215984	288577	0	0.138303	11893186

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.795579
3.0	2.428526
4.0	2.932085
5.0	3.332706
6.0	3.651431
7.0	3.905003
8.0	4.106739
9.0	4.267237
10.0	4.394925
11.0	4.496511
12.0	4.577331
13.0	4.64163
14.0	4.692784
15.0	4.733482
16.0	4.76586
17.0	4.791619
18.0	4.812113
19.0	4.828417
20.0	4.841388
21.0	4.851708
22.0	4.859918
23.0	4.86645
24.0	4.871647
25.0	4.875781
26.0	4.87907
27.0	4.881687
28.0	4.883769
29.0	4.885425
30.0	4.886743
31.0	4.887791
32.0	4.888625
33.0	4.889289
34.0	4.889817
35.0	4.890237
36.0	4.890571
37.0	4.890837
38.0	4.891048
39.0	4.891216
40.0	4.89135
41.0	4.891457
42.0	4.891542
43.0	4.891609
44.0	4.891663
45.0	4.891705
46.0	4.891739
47.0	4.891766
48.0	4.891788
49.0	4.891805
50.0	4.891818
51.0	4.891829
52.0	4.891838
53.0	4.891845
54.0	4.89185
55.0	4.891854
56.0	4.891858
57.0	4.891861
58.0	4.891863
59.0	4.891865
60.0	4.891866
61.0	4.891867
62.0	4.891868
63.0	4.891869
64.0	4.891869
65.0	4.89187
66.0	4.89187
67.0	4.89187
68.0	4.89187
69.0	4.891871
70.0	4.891871
71.0	4.891871
72.0	4.891871
73.0	4.891871
74.0	4.891871
75.0	4.891871
76.0	4.891871
77.0	4.891871
78.0	4.891871
79.0	4.891871
80.0	4.891871
81.0	4.891871
82.0	4.891871
83.0	4.891871
84.0	4.891871
85.0	4.891871
86.0	4.891871
87.0	4.891871
88.0	4.891871
89.0	4.891871
90.0	4.891871
91.0	4.891871
92.0	4.891871
93.0	4.891871
94.0	4.891871
95.0	4.891871
96.0	4.891871
97.0	4.891871
98.0	4.891871
99.0	4.891871
100.0	4.891871

