## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077096_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077096_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077096_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	283402	2136333	264460	613306	204857	246487	0	0.153165	8531211

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.778479
3.0	2.384507
4.0	2.856288
5.0	3.223559
6.0	3.509472
7.0	3.732048
8.0	3.90532
9.0	4.040208
10.0	4.145215
11.0	4.226961
12.0	4.290599
13.0	4.340139
14.0	4.378705
15.0	4.408728
16.0	4.432101
17.0	4.450295
18.0	4.46446
19.0	4.475486
20.0	4.48407
21.0	4.490753
22.0	4.495955
23.0	4.500004
24.0	4.503157
25.0	4.505611
26.0	4.507522
27.0	4.509009
28.0	4.510167
29.0	4.511068
30.0	4.51177
31.0	4.512316
32.0	4.512742
33.0	4.513073
34.0	4.51333
35.0	4.513531
36.0	4.513687
37.0	4.513809
38.0	4.513903
39.0	4.513977
40.0	4.514034
41.0	4.514079
42.0	4.514114
43.0	4.514141
44.0	4.514162
45.0	4.514178
46.0	4.514191
47.0	4.514201
48.0	4.514209
49.0	4.514215
50.0	4.51422
51.0	4.514223
52.0	4.514226
53.0	4.514228
54.0	4.51423
55.0	4.514231
56.0	4.514232
57.0	4.514233
58.0	4.514234
59.0	4.514234
60.0	4.514235
61.0	4.514235
62.0	4.514235
63.0	4.514235
64.0	4.514236
65.0	4.514236
66.0	4.514236
67.0	4.514236
68.0	4.514236
69.0	4.514236
70.0	4.514236
71.0	4.514236
72.0	4.514236
73.0	4.514236
74.0	4.514236
75.0	4.514236
76.0	4.514236
77.0	4.514236
78.0	4.514236
79.0	4.514236
80.0	4.514236
81.0	4.514236
82.0	4.514236
83.0	4.514236
84.0	4.514236
85.0	4.514236
86.0	4.514236
87.0	4.514236
88.0	4.514236
89.0	4.514236
90.0	4.514236
91.0	4.514236
92.0	4.514236
93.0	4.514236
94.0	4.514236
95.0	4.514236
96.0	4.514236
97.0	4.514236
98.0	4.514236
99.0	4.514236
100.0	4.514236

