## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077093_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077093_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077093_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	324938	2548164	390872	713598	236914	390595	0	0.187798	7438790

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.709957
3.0	2.213996
4.0	2.571842
5.0	2.825897
6.0	3.006265
7.0	3.134319
8.0	3.225232
9.0	3.289776
10.0	3.335599
11.0	3.368132
12.0	3.391229
13.0	3.407627
14.0	3.419268
15.0	3.427534
16.0	3.433401
17.0	3.437567
18.0	3.440525
19.0	3.442625
20.0	3.444116
21.0	3.445174
22.0	3.445925
23.0	3.446459
24.0	3.446838
25.0	3.447106
26.0	3.447297
27.0	3.447433
28.0	3.447529
29.0	3.447597
30.0	3.447646
31.0	3.44768
32.0	3.447705
33.0	3.447722
34.0	3.447734
35.0	3.447743
36.0	3.447749
37.0	3.447754
38.0	3.447757
39.0	3.447759
40.0	3.447761
41.0	3.447762
42.0	3.447763
43.0	3.447763
44.0	3.447764
45.0	3.447764
46.0	3.447764
47.0	3.447764
48.0	3.447764
49.0	3.447764
50.0	3.447764
51.0	3.447765
52.0	3.447765
53.0	3.447765
54.0	3.447765
55.0	3.447765
56.0	3.447765
57.0	3.447765
58.0	3.447765
59.0	3.447765
60.0	3.447765
61.0	3.447765
62.0	3.447765
63.0	3.447765
64.0	3.447765
65.0	3.447765
66.0	3.447765
67.0	3.447765
68.0	3.447765
69.0	3.447765
70.0	3.447765
71.0	3.447765
72.0	3.447765
73.0	3.447765
74.0	3.447765
75.0	3.447765
76.0	3.447765
77.0	3.447765
78.0	3.447765
79.0	3.447765
80.0	3.447765
81.0	3.447765
82.0	3.447765
83.0	3.447765
84.0	3.447765
85.0	3.447765
86.0	3.447765
87.0	3.447765
88.0	3.447765
89.0	3.447765
90.0	3.447765
91.0	3.447765
92.0	3.447765
93.0	3.447765
94.0	3.447765
95.0	3.447765
96.0	3.447765
97.0	3.447765
98.0	3.447765
99.0	3.447765
100.0	3.447765

