## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077097_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077097_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077097_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	314272	1757924	166463	827948	274248	645544	0	0.408691	1762321

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.368798
3.0	1.50481
4.0	1.554972
5.0	1.573471
6.0	1.580293
7.0	1.58281
8.0	1.583737
9.0	1.58408
10.0	1.584206
11.0	1.584252
12.0	1.58427
13.0	1.584276
14.0	1.584278
15.0	1.584279
16.0	1.584279
17.0	1.58428
18.0	1.58428
19.0	1.58428
20.0	1.58428
21.0	1.58428
22.0	1.58428
23.0	1.58428
24.0	1.58428
25.0	1.58428
26.0	1.58428
27.0	1.58428
28.0	1.58428
29.0	1.58428
30.0	1.58428
31.0	1.58428
32.0	1.58428
33.0	1.58428
34.0	1.58428
35.0	1.58428
36.0	1.58428
37.0	1.58428
38.0	1.58428
39.0	1.58428
40.0	1.58428
41.0	1.58428
42.0	1.58428
43.0	1.58428
44.0	1.58428
45.0	1.58428
46.0	1.58428
47.0	1.58428
48.0	1.58428
49.0	1.58428
50.0	1.58428
51.0	1.58428
52.0	1.58428
53.0	1.58428
54.0	1.58428
55.0	1.58428
56.0	1.58428
57.0	1.58428
58.0	1.58428
59.0	1.58428
60.0	1.58428
61.0	1.58428
62.0	1.58428
63.0	1.58428
64.0	1.58428
65.0	1.58428
66.0	1.58428
67.0	1.58428
68.0	1.58428
69.0	1.58428
70.0	1.58428
71.0	1.58428
72.0	1.58428
73.0	1.58428
74.0	1.58428
75.0	1.58428
76.0	1.58428
77.0	1.58428
78.0	1.58428
79.0	1.58428
80.0	1.58428
81.0	1.58428
82.0	1.58428
83.0	1.58428
84.0	1.58428
85.0	1.58428
86.0	1.58428
87.0	1.58428
88.0	1.58428
89.0	1.58428
90.0	1.58428
91.0	1.58428
92.0	1.58428
93.0	1.58428
94.0	1.58428
95.0	1.58428
96.0	1.58428
97.0	1.58428
98.0	1.58428
99.0	1.58428
100.0	1.58428

