## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077095_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077095_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077095_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	141727	1215252	236990	450277	129650	758486	0	0.640153	501092

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999999
2.0	1.088459
3.0	1.096284
4.0	1.096976
5.0	1.097037
6.0	1.097043
7.0	1.097043
8.0	1.097043
9.0	1.097043
10.0	1.097043
11.0	1.097043
12.0	1.097043
13.0	1.097043
14.0	1.097043
15.0	1.097043
16.0	1.097043
17.0	1.097043
18.0	1.097043
19.0	1.097043
20.0	1.097043
21.0	1.097043
22.0	1.097043
23.0	1.097043
24.0	1.097043
25.0	1.097043
26.0	1.097043
27.0	1.097043
28.0	1.097043
29.0	1.097043
30.0	1.097043
31.0	1.097043
32.0	1.097043
33.0	1.097043
34.0	1.097043
35.0	1.097043
36.0	1.097043
37.0	1.097043
38.0	1.097043
39.0	1.097043
40.0	1.097043
41.0	1.097043
42.0	1.097043
43.0	1.097043
44.0	1.097043
45.0	1.097043
46.0	1.097043
47.0	1.097043
48.0	1.097043
49.0	1.097043
50.0	1.097043
51.0	1.097043
52.0	1.097043
53.0	1.097043
54.0	1.097043
55.0	1.097043
56.0	1.097043
57.0	1.097043
58.0	1.097043
59.0	1.097043
60.0	1.097043
61.0	1.097043
62.0	1.097043
63.0	1.097043
64.0	1.097043
65.0	1.097043
66.0	1.097043
67.0	1.097043
68.0	1.097043
69.0	1.097043
70.0	1.097043
71.0	1.097043
72.0	1.097043
73.0	1.097043
74.0	1.097043
75.0	1.097043
76.0	1.097043
77.0	1.097043
78.0	1.097043
79.0	1.097043
80.0	1.097043
81.0	1.097043
82.0	1.097043
83.0	1.097043
84.0	1.097043
85.0	1.097043
86.0	1.097043
87.0	1.097043
88.0	1.097043
89.0	1.097043
90.0	1.097043
91.0	1.097043
92.0	1.097043
93.0	1.097043
94.0	1.097043
95.0	1.097043
96.0	1.097043
97.0	1.097043
98.0	1.097043
99.0	1.097043
100.0	1.097043

