## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077092_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077092_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077092_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	329313	3112395	452710	676791	234513	311203	0	0.130745	14508057

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.806922
3.0	2.458044
4.0	2.983449
5.0	3.40741
6.0	3.749512
7.0	4.025563
8.0	4.248314
9.0	4.428056
10.0	4.573094
11.0	4.690129
12.0	4.784566
13.0	4.86077
14.0	4.92226
15.0	4.971878
16.0	5.011916
17.0	5.044224
18.0	5.070293
19.0	5.091329
20.0	5.108304
21.0	5.122001
22.0	5.133053
23.0	5.141972
24.0	5.149168
25.0	5.154975
26.0	5.159661
27.0	5.163442
28.0	5.166493
29.0	5.168955
30.0	5.170942
31.0	5.172545
32.0	5.173838
33.0	5.174882
34.0	5.175724
35.0	5.176404
36.0	5.176952
37.0	5.177395
38.0	5.177752
39.0	5.17804
40.0	5.178272
41.0	5.17846
42.0	5.178611
43.0	5.178734
44.0	5.178832
45.0	5.178912
46.0	5.178976
47.0	5.179028
48.0	5.179069
49.0	5.179103
50.0	5.17913
51.0	5.179152
52.0	5.17917
53.0	5.179184
54.0	5.179196
55.0	5.179205
56.0	5.179213
57.0	5.179219
58.0	5.179224
59.0	5.179228
60.0	5.179231
61.0	5.179233
62.0	5.179235
63.0	5.179237
64.0	5.179238
65.0	5.179239
66.0	5.17924
67.0	5.179241
68.0	5.179242
69.0	5.179242
70.0	5.179242
71.0	5.179243
72.0	5.179243
73.0	5.179243
74.0	5.179243
75.0	5.179244
76.0	5.179244
77.0	5.179244
78.0	5.179244
79.0	5.179244
80.0	5.179244
81.0	5.179244
82.0	5.179244
83.0	5.179244
84.0	5.179244
85.0	5.179244
86.0	5.179244
87.0	5.179244
88.0	5.179244
89.0	5.179244
90.0	5.179244
91.0	5.179244
92.0	5.179244
93.0	5.179244
94.0	5.179244
95.0	5.179244
96.0	5.179244
97.0	5.179244
98.0	5.179244
99.0	5.179244
100.0	5.179244

